Date, Open, High, Low, Close
04/19/19, 3870.71, 3870.71, 3870.71, 3870.71
04/18/19, 3868.32, 3868.32, 3868.32, 3868.32
04/17/19, 3872.05, 3872.05, 3872.05, 3872.05
04/16/19, 3880.42, 3880.42, 3880.42, 3880.42
04/15/19, 3877.85, 3877.85, 3877.85, 3877.85
04/12/19, 3876.74, 3876.74, 3876.74, 3876.74
04/11/19, 3863.86, 3863.86, 3863.86, 3863.86
04/10/19, 3869.06, 3869.06, 3869.06, 3869.06
04/09/19, 3857.50, 3857.50, 3857.50, 3857.50
04/08/19, 3870.98, 3870.98, 3870.98, 3870.98
04/05/19, 3861.85, 3861.85, 3861.85, 3861.85
04/04/19, 3847.58, 3847.58, 3847.58, 3847.58
04/03/19, 3852.50, 3852.50, 3852.50, 3852.50
04/02/19, 3829.20, 3829.20, 3829.20, 3829.20
04/01/19, 3826.36, 3826.36, 3826.36, 3826.36
03/29/19, 3790.01, 3790.01, 3790.01, 3790.01
03/28/19, 3760.89, 3760.89, 3760.89, 3760.89
03/27/19, 3751.82, 3751.82, 3751.82, 3751.82
03/26/19, 3768.03, 3768.03, 3768.03, 3768.03
03/25/19, 3738.73, 3738.73, 3738.73, 3738.73
03/22/19, 3754.48, 3754.48, 3754.48, 3754.48
03/21/19, 3814.49, 3814.49, 3814.49, 3814.49
03/20/19, 3776.33, 3776.33, 3776.33, 3776.33
03/19/19, 3782.10, 3782.10, 3782.10, 3782.10
03/18/19, 3773.30, 3773.30, 3773.30, 3773.30
03/15/19, 3759.91, 3759.91, 3759.91, 3759.91
03/14/19, 3737.48, 3737.48, 3737.48, 3737.48
03/13/19, 3740.37, 3740.37, 3740.37, 3740.37
03/12/19, 3722.59, 3722.59, 3722.59, 3722.59
03/11/19, 3701.78, 3701.78, 3701.78, 3701.78
03/08/19, 3654.74, 3654.74, 3654.74, 3654.74
03/07/19, 3676.65, 3676.65, 3676.65, 3676.65
03/06/19, 3709.02, 3709.02, 3709.02, 3709.02
03/05/19, 3726.25, 3726.25, 3726.25, 3726.25
03/04/19, 3728.83, 3728.83, 3728.83, 3728.83
03/01/19, 3732.66, 3732.66, 3732.66, 3732.66
02/28/19, 3709.91, 3709.91, 3709.91, 3709.91
02/27/19, 3726.22, 3726.22, 3726.22, 3726.22
02/26/19, 3726.92, 3726.92, 3726.92, 3726.92
02/25/19, 3726.85, 3726.85, 3726.85, 3726.85
02/22/19, 3713.50, 3713.50, 3713.50, 3713.50
02/21/19, 3688.32, 3688.32, 3688.32, 3688.32
02/20/19, 3697.11, 3697.11, 3697.11, 3697.11
02/19/19, 3683.50, 3683.50, 3683.50, 3683.50
02/18/19, 3683.74, 3683.74, 3683.74, 3683.74
02/15/19, 3672.03, 3672.03, 3672.03, 3672.03
